Temp(K),Mass(sun=1),Type_Encoded,end_Type_Encoded,Spec_Encoded,MMK_Encoded
8963.338,160.8189954,7,3,0,6
8646.341,126.1459569,7,3,0,6
8604.369,72.73202859,7,3,0,6
8573.155,88.99609413,7,3,0,6
8573.155,63.24670393,7,3,0,6
8430.439,21.03384095,7,3,0,6
8420.428,912.6479051,7,3,0,6
8370.72,2807.203989,7,3,0,6
8370.72,199.8072824,7,3,0,6
8360.849,67.62515498,7,3,0,6
8331.375,44.18641336,7,3,0,6
8253.783,38.46540235,7,3,0,6
8215.527,167.6319276,7,3,0,6
8168.2026,89.05985224,7,3,0,6
8093.607,27.77218597,7,3,0,6
8065.984,91.00666925,7,3,0,6
8002.257,62.82131622,7,3,0,6
7993.2354,184.1698258,7,3,0,6
7966.2915,164.0292986,7,3,0,6
7957.351,17.39138879,7,3,0,6
7939.53,18.30583253,7,3,0,6
7877.7773,324.5295743,7,3,0,6
7834.254,20.06563123,7,3,0,6
7774.122,7.147873857,7,3,0,6
7740.175,185.0864414,7,3,0,6
7463.1577,123.1297493,7,3,0,6
8056.8184,26.05378728,7,3,0,6
7324.38,75.60118803,7,3,0,1
8292.397,105.5677275,7,3,0,2
8084.3784,14.85914703,7,3,0,2
8038.5483,279.8268038,7,3,0,2
7455.31,274.3774303,7,3,0,2
7681.473,39.57894066,7,3,0,2
8678.09,151.7834254,7,3,0,6
8593.938,106.5357385,7,3,0,6
7939.53,202.0117583,7,3,0,6
7869.034,11.68032871,7,3,0,6
7740.175,57.61204516,7,3,0,6
7706.5215,10.40093884,7,3,0,6
7706.5215,7.158443422,7,3,0,6
7664.8647,36.0286774,7,3,0,6
7607.296,6.857086099,7,3,0,6
5681.09,20059.70391,1,0,0,6
7370.0625,117.716637,7,3,0,6
8047.673,259.1174869,7,3,0,6
7714.907,673.730099,7,3,0,6
8187.0664,278.6451488,6,3,0,1
8038.5483,193.1064878,6,3,0,1
7478.903,15.87808324,6,3,0,1
7339.5444,9.110728092,6,3,0,1
7408.5684,15.41807368,7,3,0,2
7234.694,24.51681122,7,3,0,1
8646.341,774.6852423,7,3,0,2
8311.84,66.5096782,7,3,0,2
7895.3228,48.30685856,7,3,0,2
